name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Saquon Barkley";"PHI";"RB";27.8;7257;"4866";"13604";10842;1;1;1202
"Ja'Marr Chase";"CIN";"WR";24.8;5856;"7564";"15281";10593;2;1;804
"Bijan Robinson";"ATL";"RB";22.8;9833;"9509";"16161";9662;3;2;558
"Justin Jefferson";"MIN";"WR";25.5;7569;"6794";"14836";9210;4;2;-1233
"Amon-Ra St. Brown";"DET";"WR";25.1;1527;"7547";"15287";8935;5;3;1345
"Derrick Henry";"BAL";"RB";30.9;5421;"3198";"12626";8668;6;3;-1115
"Jahmyr Gibbs";"DET";"RB";22.7;9821;"9221";"16162";8109;7;4;113
"Joe Mixon";"HOU";"RB";28.4;4578;"4018";"13131";8095;8;5;1531
"Nico Collins";"HOU";"WR";25.7;5030;"7569";"15290";8091;9;4;1089
"A.J. Brown";"PHI";"WR";27.4;4118;"5859";"14104";7870;10;5;-76
"De'Von Achane";"MIA";"RB";23.1;9969;"9226";"16167";7761;11;6;1209
"Puka Nacua";"LAR";"WR";23.5;9822;"9493";"16211";7726;12;6;1646
"Alvin Kamara";"NO";"RB";29.4;4144;"4035";"13132";7556;13;7;781
"Breece Hall";"NYJ";"RB";23.5;4576;"8155";"15708";7446;14;8;-246
"CeeDee Lamb";"DAL";"WR";25.7;4835;"6786";"14832";6717;15;7;-2527
"Lamar Jackson";"BAL";"QB";27.9;3101;"4881";"13593";6712;16;1;-30
"Kyren Williams";"LAR";"RB";24.3;7315;"8150";"15710";6696;17;9;-1744
"Cooper Kupp";"LAR";"WR";31.5;5586;"4039";"13164";6439;18;8;1198
"Josh Jacobs";"GB";"RB";26.8;1326;"5850";"14073";6344;19;10;1310
"Josh Allen";"BUF";"QB";28.5;6170;"4984";"13589";5999;20;2;-166
"Jalen Hurts";"PHI";"QB";26.3;6407;"6904";"14783";5876;21;3;965
"Drake London";"ATL";"WR";23.4;998;"8112";"15751";5575;22;9;-136
"Brock Bowers";"LV";"TE";22;11702;"11604";"16641";5512;23;1;1433
"Tyreek Hill";"MIA";"WR";30.8;7958;"3321";"12801";5352;24;10;-1579
"Malik Nabers";"NYG";"WR";21.4;11737;"11632";"16615";5194;25;11;-1044
