name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Saquon Barkley";"PHI";"RB";27.8;7257;"4866";"13604";10553;1;1;810
"Ja'Marr Chase";"CIN";"WR";24.8;5856;"7564";"15281";10011;2;1;23
"Justin Jefferson";"MIN";"WR";25.5;7569;"6794";"14836";9583;3;2;-515
"Christian McCaffrey";"SF";"RB";28.5;5494;"4034";"13130";9386;4;2;3134
"Bijan Robinson";"ATL";"RB";22.8;9833;"9509";"16161";9267;5;3;970
"Derrick Henry";"BAL";"RB";30.9;5421;"3198";"12626";8792;6;4;-1421
"Amon-Ra St. Brown";"DET";"WR";25.1;1527;"7547";"15287";8684;7;3;35
"Joe Mixon";"HOU";"RB";28.4;4578;"4018";"13131";8207;8;5;1058
"Jahmyr Gibbs";"DET";"RB";22.7;9821;"9221";"16162";8026;9;6;405
"Nico Collins";"HOU";"WR";25.7;5030;"7569";"15290";7786;10;4;2294
"De'Von Achane";"MIA";"RB";23.1;9969;"9226";"16167";7765;11;7;2768
"A.J. Brown";"PHI";"WR";27.4;4118;"5859";"14104";7564;12;5;-522
"Alvin Kamara";"NO";"RB";29.4;4144;"4035";"13132";7497;13;8;1571
"Kyren Williams";"LAR";"RB";24.3;7315;"8150";"15710";7071;14;9;-228
"Breece Hall";"NYJ";"RB";23.5;4576;"8155";"15708";6984;15;10;-1703
"Puka Nacua";"LAR";"WR";23.5;9822;"9493";"16211";6900;16;6;2298
"Lamar Jackson";"BAL";"QB";27.9;3101;"4881";"13593";6669;17;1;-328
"CeeDee Lamb";"DAL";"WR";25.7;4835;"6786";"14832";6547;18;7;-2229
"Cooper Kupp";"LAR";"WR";31.5;5586;"4039";"13164";6447;19;8;934
"Tyreek Hill";"MIA";"WR";30.8;7958;"3321";"12801";6115;20;9;-1645
"Jonathan Taylor";"IND";"RB";25.9;3046;"6813";"14802";5900;21;11;-331
"Jalen Hurts";"PHI";"QB";26.3;6407;"6904";"14783";5843;22;2;1750
"Josh Jacobs";"GB";"RB";26.8;1326;"5850";"14073";5674;23;12;1013
"Drake London";"ATL";"WR";23.4;998;"8112";"15751";5658;24;10;-752
"Kenneth Walker";"SEA";"RB";24.1;1749;"8151";"15711";5558;25;13;-1968
"Josh Allen";"BUF";"QB";28.5;6170;"4984";"13589";5191;26;3;-542
"Garrett Wilson";"NYJ";"WR";24.4;6813;"8146";"15753";5184;27;11;900
"Malik Nabers";"NYG";"WR";21.3;11737;"11632";"16615";5120;28;12;-1610
"Mike Evans";"TB";"WR";31.3;7495;"2216";"11671";5083;29;13;2031
"David Montgomery";"DET";"RB";27.5;7515;"5892";"14071";4931;30;14;500
"Brock Bowers";"LV";"TE";22;11702;"11604";"16641";4896;31;1;123
"Travis Kelce";"KC";"TE";35.2;2204;"1466";"11244";4801;32;2;2107
"DK Metcalf";"SEA";"WR";27;5240;"5846";"14102";4752;33;14;508
"James Conner";"ARI";"RB";29.6;7447;"4137";"13146";4635;34;15;1108
"James Cook";"BUF";"RB";25.2;182;"8138";"15715";4576;35;16;597
"Chase Brown";"CIN";"RB";24.7;9967;"9224";"16181";4504;36;17;2911
"Joe Burrow";"CIN";"QB";28;1002;"6770";"14777";4446;37;4;1013
"Terry McLaurin";"WAS";"WR";29.2;4864;"5927";"14109";4352;38;15;616
"Tee Higgins";"CIN";"WR";25.9;5531;"6801";"14835";4258;39;16;347
"George Kittle";"SF";"TE";31.1;5709;"4217";"13299";4187;40;3;19
"George Pickens";"PIT";"WR";23.7;1436;"8137";"15762";4169;41;17;1634
"Trey McBride";"ARI";"TE";25;7325;"8130";"15794";3807;42;4;740
"Marvin Harrison Jr";"ARI";"WR";22.3;11734;"11628";"16614";3671;43;18;280
"Zay Flowers";"BAL";"WR";24.2;9930;"9997";"16190";3324;44;19;771
"Jayden Daniels";"WAS";"QB";24;11701;"11566";"16581";3269;45;5;-759
"Isiah Pacheco";"KC";"RB";25.8;3777;"8205";"15749";3120;46;18;423
"J.K. Dobbins";"LAC";"RB";26;5149;"6806";"14800";2978;47;19;387
"Kyler Murray";"ARI";"QB";27.3;3544;"5849";"14056";2963;48;6;870
"Chuba Hubbard";"CAR";"RB";25.5;183;"7594";"15261";2958;49;20;1120
"Aaron Jones";"MIN";"RB";30;2382;"4199";"13319";2911;50;21;-1858
"Brian Robinson";"WAS";"RB";25.7;4174;"8154";"15716";2873;51;22;-560
"Davante Adams";"LV";"WR";31.9;1503;"2133";"11675";2839;52;20;-1192
"Baker Mayfield";"TB";"QB";29.6;2737;"4892";"13590";2794;53;7;573
"Jayden Reed";"GB";"WR";24.6;9863;"10222";"16184";2756;54;21;-1296
"Jaxon Smith-Njigba";"SEA";"WR";22.8;9924;"9488";"16185";2748;55;22;1535
"Deebo Samuel";"SF";"WR";28.9;2495;"5872";"14136";2711;56;23;-1006
"D'Andre Swift";"CHI";"RB";25.9;1574;"6790";"14797";2644;57;23;-1271
"Rhamondre Stevenson";"NE";"RB";26.8;4294;"7611";"15259";2543;58;24;1128
"Ladd McConkey";"LAC";"WR";23.1;11766;"11635";"16627";2482;59;24;1677
"Justin Herbert";"LAC";"QB";26.7;8448;"6797";"14779";2418;60;8;1815
"Najee Harris";"PIT";"RB";26.7;7252;"7528";"15254";2406;61;25;163
"Tyrone Tracy";"NYG";"RB";25;12123;"11655";"16747";2395;62;26;1538
"Patrick Mahomes";"KC";"QB";29.2;880;"4046";"13116";2316;63;9;-157
"Brian Thomas";"JAX";"WR";22.1;11726;"11631";"16618";2311;64;25;-1497
"Jordan Love";"GB";"QB";26.1;3651;"6804";"14782";2245;65;10;-980
"Brock Purdy";"SF";"QB";24.9;5570;"8183";"15698";2148;66;11;897
"C.J. Stroud";"HOU";"QB";23.2;9838;"9758";"16150";2107;67;12;-457
"Courtland Sutton";"DEN";"WR";29.1;818;"5045";"13630";2078;68;26;1208
"DeVonta Smith";"PHI";"WR";26;6635;"7525";"15282";2043;69;27;-1334
"Rachaad White";"TB";"RB";25.9;2187;"8136";"15721";2037;70;27;358
"DJ Moore";"CHI";"WR";27.6;6110;"4983";"13635";2014;71;28;-1342
"Calvin Ridley";"TEN";"WR";30;41;"4981";"13629";2002;72;29;1203
"Jauan Jennings";"SF";"WR";27.4;2631;"7049";"14860";1941;73;30;1101
"Darnell Mooney";"ATL";"WR";27.1;3901;"7090";"14974";1935;74;31;815
"Tony Pollard";"TEN";"RB";27.6;407;"5967";"14085";1895;75;28;-492
"Austin Ekeler";"WAS";"RB";29.5;1332;"4663";"13404";1833;76;29;901
"Sam LaPorta";"DET";"TE";23.9;9843;"10859";"16214";1754;77;5;82
"Amari Cooper";"CLE";"WR";30.5;2301;"2309";"12175";1719;78;32;-1612
"Jared Goff";"DET";"QB";30.1;8587;"3163";"12611";1698;79;13;-276
"DeAndre Hopkins";"TEN";"WR";32.5;4681;"1426";"11232";1698;80;33;-62
"Bucky Irving";"TB";"RB";22.3;11779;"11584";"16598";1663;81;30;760
"T.J. Hockenson";"MIN";"TE";27.4;8215;"5844";"14138";1657;82;6;229
"Josh Downs";"IND";"WR";23.3;9936;"9500";"16187";1634;83;34;1022
"Bo Nix";"DEN";"QB";24.8;11728;"11563";"16582";1625;84;14;1366
"David Njoku";"CLE";"TE";28.4;6513;"4033";"13192";1594;85;7;216
"Nick Chubb";"CLE";"RB";28.9;4188;"4988";"13610";1584;86;31;-884
"Tank Dell";"HOU";"WR";25.1;9950;"9502";"16204";1441;87;35;183
"Cade Otton";"TB";"TE";25.6;2021;"8111";"15802";1429;88;8;775
"Jakobi Meyers";"LV";"WR";28.1;2463;"5947";"14127";1320;89;36;565
"Javonte Williams";"DEN";"RB";24.6;6963;"7588";"15256";1302;90;32;-673
"Mark Andrews";"BAL";"TE";29.2;4519;"5012";"13671";1297;91;9;-143
"Travis Etienne";"JAX";"RB";25.8;3156;"7543";"15253";1261;92;33;-653
"Jaylen Waddle";"MIA";"WR";26;1409;"7526";"15284";1227;93;37;-1098
"Chris Olave";"NO";"WR";24.4;2548;"8144";"15754";1219;94;38;-1907
"Jameson Williams";"DET";"WR";23.7;1100;"8148";"15756";1209;95;39;-69
"Khalil Shakir";"BUF";"WR";24.8;8607;"8134";"15761";1202;96;40;420
"Dallas Goedert";"PHI";"TE";29.9;5988;"5022";"13674";1199;97;10;618
